delta,flipAngle,TR,numSatPulse,pulseDur,numExc,satTrainPerBoost,TR_MT,b1
8000,4,0.18,4,0.001024,20,1,1,14
8000,4,0.18,4,0.00128,12,1,1,14
8000,4,0.18,4,0.00128,14,1,1,14
8000,4,0.18,4,0.00128,16,1,1,14
8000,4,0.18,4,0.00128,18,1,1,13.9203036492011
8000,4,0.18,4,0.00128,20,1,1,13.5378738457686
8000,4,0.18,4,0.002048,12,1,1,11.8658472609421
8000,4,0.18,4,0.002048,14,1,1,11.5859965186964
8000,4,0.18,4,0.002048,16,1,1,11.2992167623462
8000,4,0.18,4,0.002048,18,1,1,11.0049663131572
8000,4,0.18,4,0.002048,20,1,1,10.7026290071629
8000,4,0.18,6,0.000768,12,1,1,14
8000,4,0.18,6,0.000768,14,1,1,14
8000,4,0.18,6,0.000768,16,1,1,14
8000,4,0.18,6,0.000768,18,1,1,14
8000,4,0.18,6,0.000768,20,1,1,14
8000,4,0.18,6,0.001024,12,1,1,13.7015002205358
8000,4,0.18,6,0.001024,14,1,1,13.3783564177989
8000,4,0.18,6,0.001024,16,1,1,13.0472116787451
8000,4,0.18,6,0.001024,18,1,1,12.7074405266482
8000,4,0.18,6,0.001024,20,1,1,12.3583314766444
8000,4,0.18,6,0.00128,12,1,1,12.2549943547385
8000,4,0.18,6,0.00128,14,1,1,11.9659657509676
8000,4,0.18,6,0.00128,16,1,1,11.6697808922012
8000,4,0.18,6,0.00128,18,1,1,11.3658803350484
8000,4,0.18,6,0.00128,20,1,1,11.0536277081009
8000,4,0.18,6,0.002048,12,1,1,9.68842371836982
8000,4,0.18,6,0.002048,14,1,1,9.45992654415618
8000,4,0.18,6,0.002048,16,1,1,9.22577185361694
8000,4,0.18,6,0.002048,18,1,1,8.9855173679177
8000,4,0.18,8,0.000768,12,1,1,13.7015002205358
8000,4,0.18,8,0.000768,14,1,1,13.3783564177989
8000,4,0.18,8,0.000768,16,1,1,13.0472116787451
8000,4,0.18,8,0.000768,18,1,1,12.7074405266482
8000,4,0.18,8,0.000768,20,1,1,12.3583314766444
8000,4,0.18,8,0.001024,12,1,1,11.8658472609421
8000,4,0.18,8,0.001024,14,1,1,11.5859965186964
8000,4,0.18,8,0.001024,16,1,1,11.2992167623462
8000,4,0.18,8,0.001024,18,1,1,11.0049663131572
8000,4,0.18,8,0.00128,12,1,1,10.6131364344385
8000,4,0.18,8,0.00128,14,1,1,10.3628303211525
8000,4,0.18,8,0.00128,16,1,1,10.1063267092445
8000,4,0.18,8,0.00128,18,1,1,9.84314110652594
8000,4,0.18,8,0.002048,12,1,1,8.39042106273596
8000,4,0.18,8,0.002048,14,1,1,8.19253670517399
8000,4,0.18,8,0.002048,16,1,1,7.98975279475172
8000,4,0.18,8,0.002048,18,1,1,7.78168630676301
8000,4,0.18,10,0.000768,12,1,1,12.2549943547385
8000,4,0.18,10,0.000768,14,1,1,11.9659657509676
8000,4,0.18,10,0.000768,16,1,1,11.6697808922012
8000,4,0.18,10,0.000768,18,1,1,11.3658803350484
8000,4,0.18,10,0.001024,12,1,1,10.6131364344385
8000,4,0.18,10,0.001024,14,1,1,10.3628303211525
8000,4,0.18,10,0.001024,16,1,1,10.1063267092445
8000,4,0.18,10,0.001024,18,1,1,9.84314110652594
8000,4,0.18,10,0.00128,12,1,1,9.49267780875365
8000,4,0.18,10,0.00128,14,1,1,9.26879721495716
8000,4,0.18,10,0.00128,16,1,1,9.03937340987698
8000,4,0.18,10,0.00128,18,1,1,8.8039730505258
8000,4,0.18,10,0.002048,12,1,1,7.50462074244945
8000,4,0.18,10,0.002048,14,1,1,7.32762759237248
8000,4,0.18,10,0.002048,16,1,1,7.14625214899351
8000,4,0.18,10,0.002048,18,1,1,6.96015182460055
8000,4,0.18,12,0.000768,12,1,1,11.1872280836479
8000,4,0.18,12,0.000768,14,1,1,10.9233822735653
8000,4,0.18,12,0.000768,16,1,1,10.6530037263356
8000,4,0.18,12,0.000768,18,1,1,10.3755817423507
8000,4,0.18,12,0.001024,12,1,1,9.68842371836982
8000,4,0.18,12,0.001024,14,1,1,9.45992654415618
8000,4,0.18,12,0.001024,16,1,1,9.22577185361694
